Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.293181220823497,0.0228138862846241,0.213786065129617,0,0,0,32.9716985364073,0.747497678624552,-0.000136958330347952,-0.00109805134374165,0.626023554578189,3.13336589739395E-05,0.227809268803597,0,0,0,0,0,0,package://All_in_One/meshes/base_link.STL,0.741176470588235,0.901960784313726,0.956862745098039,1,0,0,0,0,0,0,package://All_in_One/meshes/base_link.STL,,旗舰版摆式悬挂麦轮车-1;激光雷达装配-1/激光雷达底板固定-1;电机丝杆机构设计-3/后固定座-1;电机丝杆机构设计-3/滑轨垫-1;245x20x20x4型材-4;移动电源-1;245x20x20x4型材-3;245x20x20x4型材-1;200x20x20x2型材 - 副本-2;200x20x20x2型材 - 副本-3;中底板-2;220x20x20x2型材-3;450x20x20x2型材-4;200x20x20x2型材 - 副本-1;200x20x20x2型材 - 副本-4;245x20x20x4型材-2;450x20x20x2型材-1;450x20x20x2型材-2;显示屏-1;450x20x20x2型材-6;561x20x20x2型材-4;450x20x20x2型材-5;450x20x20x2型材-3;561x20x20x2型材-3;屏幕左下底座-2;屏幕左下底座-1;上底板-2;220x20x20x2型材-2;220x20x20x2型材-4;屏幕左上安装座-1;电机丝杆机构设计-3/Z轴伺服马达-1;RealSense_D435-1;d435i固定座-1;d435i支撑架-2;电机丝杆机构设计-3/z轴固定件-1;电机丝杆机构设计-3/底板-1;电机丝杆机构设计-3/滑轨-1;电机丝杆机构设计-3/丝杠-1;电机丝杆机构设计-3/滑轨垫-2;电机丝杆机构设计-3/滑轨-2;d435i支撑架-1;ur3竖放-1,car_base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_ur_base_link,-1.70585556634184E-05,0.000598349980073076,0.0583820161201244,0,0,0,1.11048857887095,0.00156521304328468,2.09349645709121E-07,-1.23145085442165E-06,0.00158402822015484,1.40529519995404E-05,0.0017882187974853,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_base_link.STL,,ur3-1/Copy of Base_UR3_G5^1000513-1,right_ur_base_link,right_ur_axis_1,right_ur_base,fixed,-0.0900695574684298,-0.0295000000000024,0.127505494505501,-1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
right_ur_shoulder_link,-2.75438503311021E-07,-0.0095503335634608,-0.00134313880089604,0,0,0,0.86048677353649,0.00145975698843663,1.00076031707848E-08,1.13510071513689E-08,0.00124606811007042,3.34902185535162E-05,0.0011307880280091,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_shoulder_link.STL,1,1,1,1,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_shoulder_link.STL,,ur3-1/Copy of Link1_UR3_G5^1000513-1,right_ur_shoulder_link,right_ur_axis_1,right_ur_shoulder_pan_joint,revolute,0,0,0.15185,0,0,0,right_ur_base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
right_ur_upper_arm_link,-0.103646398649669,1.59543779154614E-06,0.120186719515414,0,0,0,1.86255115311105,0.00213324581133399,8.33210613154706E-07,0.00038601878673668,0.0202440252631196,-1.82478927308902E-07,0.0196974069542396,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_upper_arm_link.STL,1,1,1,1,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_upper_arm_link.STL,,ur3-1/Copy of Link2_UR3_G5^1000513-2,right_ur_upper_arm_link,right_ur_axis_2,right_ur_shoulder_lift_joint,revolute,0,0,0,1.5708,0,0,right_ur_shoulder_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
right_ur_forearm_link,-0.113365957442825,3.44573695298944E-07,0.00470876633326606,0,0,0,0.888801909346324,0.000601695226725028,2.34953077021263E-08,-0.00047433984876308,0.00677879949972356,2.32200841032818E-09,0.00662395723523755,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_forearm_link.STL,1,1,1,1,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_forearm_link.STL,,ur3-1/Copy of Link3_UR3_G5^1000513-1,right_ur_forearm_link,right_ur_axis_4,right_ur_elbow_joint,revolute,-0.24355,0,0.027,0,0,0,right_ur_upper_arm_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
right_ur_wrist_1_link,1.51425311289977E-07,-3.97067190331946E-05,-0.0124956497436929,0,0,0,0.375036968075586,0.000411752859619136,1.48665201195272E-09,-5.48241411917674E-09,0.000316313144134685,2.384364866386E-06,0.000288187892179436,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_wrist_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_wrist_1_link.STL,,ur3-1/Copy of Link4_UR3_G5^1000513-2,right_ur_wrist_1_link,right_ur_axis_6,right_ur_wrist_1_joint,revolute,-0.2132,0,0.10405,0,0,0,right_ur_forearm_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
right_ur_wrist_2_link,4.59401394703463E-08,3.09304237351427E-05,-0.00528976846149043,0,0,0,0.316863918999266,0.000290365349607398,6.89739045564851E-11,5.13087527877654E-09,0.000194794626867655,-2.33431027426877E-06,0.000259464598147467,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_wrist_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_wrist_2_link.STL,,ur3-1/Copy of Link5_UR3_G5^1000513-2,right_ur_wrist_2_link,right_ur_axis_7,right_ur_wrist_2_joint,revolute,0,-0.08535,0,1.5708,0,0,right_ur_wrist_1_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
right_ur_wrist_3_link,-2.16463893476515E-08,0.000153725135783267,-0.0253521485792833,0,0,0,0.145961783256663,6.30289584549884E-05,-2.27263392701082E-10,-1.04791051790363E-10,6.35887495748845E-05,-3.62022482896663E-08,7.28000634102573E-05,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_wrist_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://All_in_One/meshes/right_ur_wrist_3_link.STL,,ur3-1/Copy of Link6_UR3_G5^1000513-2,right_ur_wrist_3_link,right_ur_axis_8,right_ur_wrist_3_joint,revolute,0,0.0921,0,-1.5708,0,0,right_ur_wrist_2_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
left_ur_base_link,-1.70585560592962E-05,0.000598349978268964,0.0583820161197486,0,0,0,1.11048857899584,0.00156521304331817,2.09349636447583E-07,-1.23145085784408E-06,0.00158402822015454,1.40529519917085E-05,0.00178821879751267,0,0,0,0,0,0,package://All_in_One/meshes/left_ur_base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://All_in_One/meshes/left_ur_base_link.STL,,ur3-2/Copy of Base_UR3_G5^1000513-1,left_ur_base_link,left_ur_axis_1,left_ur_base,fixed,-0.09007,0.0305,0.12751,-1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
left_ur_shoulder_link,-9.67599977086397E-08,-0.00955031302882908,-0.00134307624352892,0,0,0,0.860481773538634,0.00145975703636161,1.00342656563931E-08,1.13363669644073E-08,0.00124606797307752,3.34902394955827E-05,0.00113078792734696,0,0,0,0,0,0,package://All_in_One/meshes/left_ur_shoulder_link.STL,1,1,1,1,0,0,0,0,0,0,package://All_in_One/meshes/left_ur_shoulder_link.STL,,ur3-2/Copy of Link1_UR3_G5^1000513-1,left_ur_shoulder_link,left_ur_axis_1,left_ur_shoulder_pan_joint,revolute,0,0,0.15185,0,0,0,left_ur_base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
